,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK▼,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
74,Adrien Rabiot,MF,fr France,27-256,1.it Juventus,1995,5,4,388,4.3,0.23,0.23,0.23,0.00,0.00,0.00,0.00,0.23,0.23,0.46,0.23,0.46,0.23,0.23,0.21,0.44,0.23,0.20,0.43,0.23,0.43,Matches,8794e251
75,Casemiro,MF,br Brazil,30-295,1.eng Manchester Utd,1992,4,4,390,4.3,0.23,0.00,0.23,0.00,0.00,0.23,0.00,0.23,0.00,0.23,0.23,0.23,0.09,0.09,0.02,0.14,0.10,0.04,0.14,0.10,0.14,Matches,4d224fe8
76,Harry Kane,FW,eng England,29-140,1.eng Tottenham,1993,5,5,402,4.5,0.44,0.67,0.22,0.22,0.44,0.00,0.00,0.45,0.67,1.12,0.22,0.90,0.60,0.24,0.33,0.58,0.60,0.34,0.94,0.25,0.59,Matches,21a66f6a
77,Jude Bellingham,MF,eng England,19-169,1.de Dortmund,2003,5,5,414,4.6,0.22,0.22,0.22,0.00,0.00,0.00,0.00,0.22,0.22,0.43,0.22,0.43,0.13,0.13,0.07,0.20,0.12,0.07,0.19,0.12,0.19,Matches,57d88cf9
78,Alexis Mac Allister,MF,ar Argentina,23-356,1.eng Brighton,1998,5,5,435,4.8,0.21,0.00,0.21,0.00,0.00,0.00,0.00,0.21,0.00,0.21,0.21,0.21,0.13,0.13,0.10,0.23,0.14,0.11,0.25,0.14,0.25,Matches,83d074ff
79,Theo Hernández,DF,fr France,25-070,1.it Milan,1997,5,4,438,4.9,0.20,0.41,0.20,0.00,0.00,0.20,0.00,0.21,0.41,0.62,0.21,0.62,0.08,0.08,0.24,0.33,0.08,0.26,0.34,0.08,0.34,Matches,d4c9725f
80,Daley Blind,DF,nl Netherlands,32-281,1.nl Ajax,1990,5,5,423,4.7,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.21,0.21,0.43,0.21,0.43,0.09,0.09,0.11,0.17,0.08,0.10,0.18,0.08,0.18,Matches,691bef82
81,Enzo Fernández,MF,ar Argentina,21-332,1.pt Benfica,2001,6,4,444,4.9,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.20,0.20,0.41,0.20,0.41,0.04,0.04,0.16,0.20,0.04,0.16,0.21,0.04,0.21,Matches,5ff4ab71
82,Frenkie de Jong,MF,nl Netherlands,25-217,1.es Barcelona,1997,5,5,475,5.3,0.19,0.19,0.19,0.00,0.00,0.19,0.00,0.19,0.19,0.38,0.19,0.38,0.17,0.17,0.04,0.21,0.18,0.04,0.22,0.18,0.22,Matches,1bacc518
83,Romain Saïss,DF,ma Morocco,32-264,1.tr Beşiktaş,1990,6,6,466,5.2,0.19,0.00,0.19,0.00,0.00,0.19,0.00,0.19,0.00,0.19,0.19,0.19,0.15,0.15,0.00,0.15,0.16,0.00,0.16,0.16,0.16,Matches,9fbbcf39
84,Nahuel Molina,DF,ar Argentina,24-253,1.es Atlético Madrid,1998,6,5,477,5.3,0.19,0.19,0.19,0.00,0.00,0.00,0.00,0.19,0.19,0.38,0.19,0.38,0.09,0.09,0.06,0.15,0.09,0.06,0.15,0.09,0.15,Matches,23610943
85,Denzel Dumfries,DF,nl Netherlands,26-241,1.it Inter,1996,5,5,479,5.3,0.19,0.38,0.19,0.00,0.00,0.38,0.19,0.19,0.38,0.56,0.19,0.56,0.08,0.08,0.06,0.13,0.08,0.06,0.14,0.08,0.14,Matches,481c9ece
86,Aurélien Tchouaméni,MF,fr France,22-322,1.es Real Madrid,2000,6,6,501,5.6,0.18,0.00,0.18,0.00,0.00,0.18,0.00,0.18,0.00,0.18,0.18,0.18,0.05,0.05,0.18,0.25,0.06,0.18,0.25,0.06,0.25,Matches,4f255115
